X;Y;Unique Squirrel ID;Hectare;Shift;Date;Hectare Squirrel Number;Age;Primary Fur Color;Highlight Fur Color;Combination of Primary and Highlight Color;Color notes;Location;Above Ground Sighter Measurement;Specific Location;Running;Chasing;Climbing;Eating;Foraging;Other Activities;Kuks;Quaas;Moans;Tail flags;Tail twitches;Approaches;Indifferent;Runs from;Other Interactions;Lat/Long
-739.674.285.955.293;407.829.723.919.744;21C-PM-1006-01;21C;PM;10062018;1;Adult;Gray;;Gray+;;Ground Plane;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE;;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;;POINT (-73.9674285955293 40.7829723919744)
-739.706.105.896.967;407.698.124.821.507;7H-AM-1006-05;07H;AM;10062018;5;Adult;Gray;Cinnamon;Gray+Cinnamon;;Above Ground;10;;FALSE;TRUE;FALSE;FALSE;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;POINT (-73.9706105896967 40.7698124821507)
-739.738.033.257.473;407.711.846.894.166;7E-AM-1006-02;07E;AM;10062018;2;Adult;Gray;;Gray+;;Ground Plane;FALSE;under a tree;FALSE;FALSE;FALSE;TRUE;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;POINT (-73.9738033257473 40.7711846894166)
-739.568.802.149.818;407.972.399.133.816;39C-PM-1006-01;39C;PM;10062018;1;Adult;Gray;;Gray+;;Ground Plane;FALSE;;TRUE;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;POINT (-73.9568802149818 40.7972399133816)
-739.576.245.992.455;407.873.862.510.001;29H-PM-1006-01;29H;PM;10062018;1;Adult;Gray;;Gray+;;Above Ground;50;;FALSE;FALSE;TRUE;FALSE;FALSE;sitting;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;POINT (-73.9576245992455 40.7873862510001)
-73.964.474.836.001;407.883.840.104.749;28C-PM-1006-01;28C;PM;10062018;1;Adult;Gray;Cinnamon;Gray+Cinnamon;;Ground Plane;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE;gathering acorns;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;gnd to tree;POINT (-73.964474836001 40.7883840104749)
-739.787.180.870.736;407.715.877.863.274;5A-AM-1006-05;05A;AM;10062018;5;Adult;Gray;Cinnamon;Gray+Cinnamon;;Ground Plane;FALSE;near 65th St arch;FALSE;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;;POINT (-73.9787180870736 40.7715877863274)
-739.565.905.868.276;407.895.654.068.546;32H-PM-1006-01;32H;PM;10062018;1;;Gray;;Gray+;;Above Ground;;in the European Beech;FALSE;FALSE;TRUE;FALSE;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;POINT (-73.9565905868276 40.7895654068546)
-739.708.549.670.788;407.699.587.019.058;7H-PM-1006-04;07H;PM;10062018;4;Adult;Gray;;Gray+;;Above Ground;12;on tree knob;FALSE;FALSE;FALSE;FALSE;FALSE;sitting;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;POINT (-73.9708549670788 40.7699587019058)
-739.761.592.532.482;407.747.213.585.387;10A-AM-1006-04;10A;AM;10062018;4;Juvenile;Gray;;Gray+;;Above Ground;10;tree near large rock on Bridle Path;FALSE;FALSE;FALSE;FALSE;FALSE;walking on branch;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;;POINT (-73.9761592532482 40.7747213585387)
-739.764.036.522.984;407.705.846.185.121;5C-AM-1006-05;05C;AM;10062018;5;Adult;Gray;Cinnamon, White;Gray+Cinnamon, White;;Ground Plane;FALSE;;FALSE;FALSE;FALSE;FALSE;TRUE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;POINT (-73.9764036522984 40.7705846185121)
