Hectare,Shift,Date,Age,Primary Fur Color,Running,Chasing,Climbing,Eating,Foraging,Kuks,Quaas,Tail flags,Tail twitches,Approaches,Indifferent,Runs from
37F,PM,10142018,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,False
21B,AM,10192018,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,False
11B,PM,10142018,Unknown,Gray,False,True,False,False,False,False,False,False,False,False,False,False
32E,PM,10172018,Adult,Gray,False,False,False,True,True,False,False,False,False,False,False,True
13E,AM,10172018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,False,False
11H,AM,10102018,Adult,Cinnamon,False,False,False,False,True,False,False,False,True,False,True,False
36H,AM,10102018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,False,False
33F,AM,10082018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,True,False
21C,PM,10062018,Adult,Gray,False,False,False,False,False,False,False,True,True,False,False,False
11D,AM,10102018,Adult,Gray,False,False,True,False,False,False,False,False,False,False,True,False
20B,PM,10132018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,True,False
22F,PM,10142018,Adult,Gray,True,False,False,False,False,False,False,False,True,False,True,False
36I,PM,10072018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,True,False
05C,PM,10102018,Adult,Cinnamon,True,False,False,False,False,False,False,False,False,False,False,False
07H,AM,10062018,Adult,Gray,False,True,False,False,False,False,False,False,False,False,True,False
16C,PM,10182018,Adult,Gray,True,False,False,True,True,False,False,False,False,False,True,False
14E,AM,10082018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,True,False
32A,PM,10132018,Juvenile,Gray,False,False,False,True,False,False,False,False,False,False,True,False
33F,AM,10082018,Adult,Gray,False,False,False,False,False,False,False,False,False,False,True,False
17F,AM,10072018,Adult,Gray,True,False,False,False,False,False,False,True,False,False,True,False
16I,AM,10082018,Adult,Cinnamon,False,False,False,False,True,False,False,False,True,False,True,False
12I,AM,10132018,Adult,Cinnamon,False,False,False,False,False,False,False,False,True,False,False,True
32F,PM,10082018,Adult,Gray,True,True,False,False,True,False,False,False,False,False,True,False
25A,AM,10132018,Unknown,Gray,False,False,False,False,True,False,False,False,False,False,False,True
15E,AM,10132018,Adult,Gray,True,False,False,False,True,False,False,False,False,False,False,False
39G,PM,10132018,Adult,Gray,True,False,False,False,False,False,False,False,False,False,False,False
