Hectare,Shift,Date,Hectare Conditions,Number of Squirrels,Weather,Dogs
01C,PM,10062018,Calm,9,66.0,0
01D,AM,10062018,Calm,5,65.0,0
01F,AM,10062018,Busy,4,64.0,1
02B,PM,10062018,Calm,5,64.0,1
02D,AM,10062018,,3,65.0,0
02D,PM,10062018,Busy,2,67.0,1
02E,AM,10062018,Busy,2,65.0,0
02E,PM,10062018,,2,64.5,0
02H,AM,10062018,Busy,8,64.0,1
02I,AM,10062018,Calm,8,64.5,1
03A,AM,10062018,Calm,14,66.0,0
03I,PM,10062018,Busy,2,65.0,0
04A,AM,10062018,Busy,4,64.0,1
04A,PM,10062018,Busy,3,65.0,1
04B,PM,10062018,Busy,5,64.0,1
04D,PM,10062018,Calm,7,64.0,1
04I,AM,10062018,Busy,1,64.0,0
05A,AM,10062018,Busy,0,67.0,0
05C,AM,10062018,Calm,8,65.0,1
05G,PM,10062018,Busy,1,18.0,1
05I,PM,10062018,,1,65.0,0
06B,AM,10062018,Busy,3,67.0,1
06C,AM,10062018,Busy,1,64.5,1
06D,PM,10062018,Calm,0,64.5,1
06E,AM,10062018,Calm,6,64.0,1
06G,AM,10062018,,10,68.0,0
07F,PM,10062018,Busy,12,77.0,1
07H,AM,10062018,Busy,3,68.0,1
07H,PM,10062018,,7,65.0,1
08E,AM,10062018,Busy,4,65.0,1
12B,PM,10062018,Calm,3,67.0,1
15I,PM,10062018,Busy,1,65.0,1
20A,AM,10062018,Calm,1,64.5,1
21D,PM,10062018,Busy,1,64.5,0
21I,PM,10062018,,2,64.5,0
22E,AM,10062018,Busy,2,64.5,1
22G,PM,10062018,Moderate,0,64.5,1
22H,AM,10062018,Calm,2,65.0,0
24C,AM,10062018,Calm,4,65.0,1
24I,PM,10062018,Calm,9,65.0,1
27B,AM,10062018,Moderate,9,65.0,1
28A,PM,10062018,Calm,3,65.0,0
29A,AM,10062018,Busy,3,65.0,0
29D,AM,10062018,Calm,2,64.5,0
29H,AM,10062018,Calm,9,65.0,1
30C,AM,10062018,Calm,2,65.0,1
30E,AM,10062018,Calm,2,64.5,1
30F,AM,10062018,Calm,7,64.5,1
31C,AM,10062018,Busy,7,68.0,1
31E,PM,10062018,Moderate,1,64.0,0
31G,AM,10062018,Calm,2,68.0,1
33B,PM,10062018,Calm,9,65.0,0
33E,AM,10062018,Calm,6,65.0,1
33F,PM,10062018,Calm,2,65.0,1
34A,AM,10062018,Moderate,4,65.0,0
35A,AM,10062018,Moderate,4,64.0,0
35D,AM,10062018,Calm,4,65.0,1
36A,PM,10062018,Calm,3,65.0,1
38H,AM,10062018,Calm,5,65.0,1
39A,PM,10062018,Busy,16,64.5,0
39C,AM,10062018,Busy,6,64.0,1
39C,PM,10062018,Busy,4,64.5,1
39D,PM,10062018,Busy,11,64.0,1
39E,PM,10062018,Busy,5,65.0,1
40D,PM,10062018,Calm,0,65.0,0
40E,PM,10062018,Busy,0,65.0,1
40F,PM,10062018,Busy,1,65.0,0
40H,AM,10062018,Busy,13,65.0,1
41C,PM,10062018,Calm,2,64.5,0
41D,PM,10062018,,1,64.5,0
41E,AM,10062018,,7,64.5,0
42A,AM,10062018,Calm,8,64.5,1
42E,PM,10062018,Busy,5,65.0,1
42H,PM,10062018,Busy,3,64.5,1
9I,AM,10062018,,6,64.5,0
01A,AM,10072018,Busy,4,70.0,0
01G,PM,10072018,Calm,0,71.0,1
01I,PM,10072018,Calm,6,71.0,1
02C,PM,10072018,Calm,3,80.0,0
02F,PM,10072018,Busy,11,80.0,1
02G,AM,10072018,Calm,2,71.0,1
03D,AM,10072018,Calm,5,70.0,1
03D,PM,10072018,Busy,6,80.0,1
03H,PM,10072018,Calm,0,71.0,1
03I,AM,10072018,Busy,1,77.0,0
04B,AM,10072018,Busy,3,77.0,0
04G,PM,10072018,Busy,6,71.0,1
04H,AM,10072018,Busy,6,80.0,1
04I,PM,10072018,Calm,1,70.0,1
05D,PM,10072018,Busy,8,68.0,1
06A,PM,10072018,Calm,2,79.0,1
06I,PM,10072018,Calm,2,68.0,1
07A,AM,10072018,Busy,4,80.0,1
07A,PM,10072018,Calm,8,71.0,1
08C,AM,10072018,Busy,6,81.0,1
08C,PM,10072018,Busy,4,70.0,1
08H,PM,10072018,Busy,1,79.0,0
08I,AM,10072018,Busy,3,71.0,1
09A,PM,10072018,Busy,2,81.0,1
09D,AM,10072018,Busy,5,71.0,1
09E,AM,10072018,Busy,0,70.0,1
10C,AM,10072018,Busy,2,70.0,1
10F,PM,10072018,Busy,15,79.0,1
10H,AM,10072018,Moderate,0,71.0,1
11F,AM,10072018,Calm,4,73.0,1
12A,PM,10072018,Busy,3,67.0,0
12C,AM,10072018,Calm,0,70.0,1
12F,AM,10072018,Calm,6,73.0,1
12G,PM,10072018,,4,78.0,1
13D,PM,10072018,Calm,10,73.0,1
14B,AM,10072018,Calm,6,70.0,0
14E,PM,10072018,Calm,1,72.0,1
15B,PM,10072018,Moderate,7,70.0,1
15D,AM,10072018,Busy,2,79.0,1
16C,PM,10072018,Busy,9,79.0,1
16F,AM,10072018,Busy,2,69.0,1
16G,PM,10072018,Busy,0,69.0,1
16H,PM,10072018,Calm,3,29.0,1
17D,AM,10072018,Calm,3,70.0,0
17F,AM,10072018,Busy,2,70.0,1
17G,AM,10072018,Moderate,14,78.0,1
18E,PM,10072018,Busy,4,79.0,1
19E,PM,10072018,Busy,4,78.0,1
20I,AM,10072018,Busy,2,80.0,0
20I,PM,10072018,Busy,8,74.2,0
21F,PM,10072018,Busy,4,74.2,0
21G,AM,10072018,Busy,5,80.0,1
21H,AM,10072018,Busy,1,71.0,1
22B,AM,10072018,Busy,1,78.0,1
22D,PM,10072018,Busy,2,70.0,1
22E,PM,10072018,Calm,6,70.0,1
22I,AM,10072018,Busy,1,80.0,1
23B,PM,10072018,Busy,12,70.0,1
23D,AM,10072018,Busy,0,80.0,1
23F,AM,10072018,,1,80.0,1
23H,AM,10072018,Busy,3,74.2,0
24A,AM,10072018,Busy,4,80.0,0
25A,AM,10072018,Calm,5,74.2,1
25B,AM,10072018,Calm,1,78.0,1
