X,Y,Unique Squirrel ID,Hectare,Shift,Date,Age,Primary Fur Color,Running,Chasing,Climbing,Eating,Foraging,Kuks,Quaas,Tail flags,Tail twitches,Approaches,Indifferent,Runs from
-739.674.285.955.293,407.829.723.919.744,21C-PM-1006-01,21C,PM,10062018,Adult,Gray,False,False,False,False,False,False,False,True,True,False,False,False
-739.706.105.896.967,407.698.124.821.507,7H-AM-1006-05,07H,AM,10062018,Adult,Gray,False,True,False,False,False,False,False,False,False,False,True,False
-739.738.033.257.473,407.711.846.894.166,7E-AM-1006-02,07E,AM,10062018,Adult,Gray,False,False,False,True,False,False,False,False,False,False,False,False
-739.568.802.149.818,407.972.399.133.816,39C-PM-1006-01,39C,PM,10062018,Adult,Gray,True,False,False,False,True,False,False,False,False,False,True,False
-739.576.245.992.455,407.873.862.510.001,29H-PM-1006-01,29H,PM,10062018,Adult,Gray,False,False,True,False,False,False,False,False,False,False,True,False
-73.964.474.836.001,407.883.840.104.749,28C-PM-1006-01,28C,PM,10062018,Adult,Gray,False,False,False,False,False,False,False,True,False,False,False,True
-739.787.180.870.736,407.715.877.863.274,5A-AM-1006-05,05A,AM,10062018,Adult,Gray,False,False,False,False,True,False,False,True,False,False,False,True
-739.565.905.868.276,407.895.654.068.546,32H-PM-1006-01,32H,PM,10062018,Unknown,Gray,False,False,True,False,False,False,False,False,False,False,False,False
-739.708.549.670.788,407.699.587.019.058,7H-PM-1006-04,07H,PM,10062018,Adult,Gray,False,False,False,False,False,False,False,False,False,False,True,False
-739.761.592.532.482,407.747.213.585.387,10A-AM-1006-04,10A,AM,10062018,Juvenile,Gray,False,False,False,False,False,False,False,False,True,False,False,False
-739.764.036.522.984,407.705.846.185.121,5C-AM-1006-05,05C,AM,10062018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,True,False
-739.570.437.717.691,407.948.509.408.039,37E-PM-1006-03,37E,PM,10062018,Adult,Gray,True,False,False,False,False,False,False,False,False,False,False,True
-739.755.560.786.227,407.662.992.317.575,2F-AM-1006-05,02F,AM,10062018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,False,False
-739.664.711.607.022,40.787.896.428.768,26A-PM-1006-06,26A,PM,10062018,Adult,Gray,False,False,True,False,False,False,False,True,False,False,False,False
-739.575.943.815.564,407.933.755.266.787,35E-PM-1006-07,35E,PM,10062018,Adult,Gray,False,False,False,False,True,False,False,False,False,False,True,True
-739.782.417.115.139,407.724.665.036.447,7A-AM-1006-01,07A,AM,10062018,Adult,Gray,False,False,False,False,True,False,True,False,True,False,False,False
-739.576.589.997.493,407.972.751.877.447,39C-PM-1006-02,39C,PM,10062018,Adult,Gray,False,False,True,False,False,False,False,False,False,False,False,False
-739.756.015.005.821,407.670.090.327.736,2F-AM-1006-01,02F,AM,10062018,Adult,Gray,False,False,False,False,True,False,False,False,True,False,True,False
-73.957.219.204.335,407.931.529.059.779,35E-PM-1006-01,35E,PM,10062018,Adult,Gray,False,False,False,False,True,False,False,False,False,True,False,False
-739.748.706.415.584,407.744.174.965.072,10B-AM-1006-02,10B,AM,10062018,Juvenile,Gray,False,False,True,False,False,False,False,False,False,False,True,False
-739.613.780.522.542,40.790.786.197.111,31D-PM-1006-04,31D,PM,10062018,Adult,Gray,False,False,False,True,False,False,False,False,False,False,True,False
-739.735.489.537.928,407.681.257.911.523,4G-AM-1006-02,04G,AM,10062018,Unknown,Gray,False,False,False,False,False,False,False,False,False,False,True,False
-739.771.614.686.616,407.709.677.983.247,5C-AM-1006-02,05C,AM,10062018,Adult,Cinnamon,True,False,True,True,False,False,False,False,False,False,True,False
-739.770.824.412.252,407.709.961.309.457,5C-AM-1006-03,05C,AM,10062018,Adult,Gray,False,False,True,False,False,False,False,False,False,False,True,False
-739.772.576.561.244,407.679.895.093.963,3D-AM-1006-08,03D,AM,10062018,Adult,Cinnamon,False,False,False,True,True,False,False,False,False,True,False,False
