Hectare;Shift;Date;Age;Primary Fur Color;Running;Chasing;Climbing;Eating;Foraging;Kuks;Quaas;Tail flags;Tail twitches;Approaches;Indifferent;Runs from;Hectare Conditions;Number of Squirrels;Weather;Dogs
01D;AM;10062018;Adult;Cinnamon;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;Calm;5.0;65.0;0.0
01D;AM;10062018;Juvenile;Gray;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;Calm;5.0;65.0;0.0
01D;AM;10062018;Juvenile;Gray;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;Calm;5.0;65.0;0.0
01D;AM;10062018;Juvenile;Gray;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Calm;5.0;65.0;0.0
01D;AM;10062018;Adult;Gray;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;Calm;5.0;65.0;0.0
01D;AM;10062018;Adult;Gray;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Calm;5.0;65.0;0.0
01D;AM;10062018;Juvenile;Gray;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Calm;5.0;65.0;0.0
01D;AM;10062018;Adult;Cinnamon;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;Calm;5.0;65.0;0.0
01D;AM;10062018;Adult;Cinnamon;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;Calm;5.0;65.0;0.0
01E;AM;10062018;Adult;Gray;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;Busy;3.0;59.0;1.0
01E;AM;10062018;Adult;Cinnamon;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Busy;3.0;59.0;1.0
01E;AM;10062018;Adult;Gray;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;Busy;3.0;59.0;1.0
01E;AM;10062018;Adult;Gray;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Busy;3.0;59.0;1.0
01E;AM;10062018;Adult;Gray;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Busy;3.0;59.0;1.0
01G;AM;10062018;Juvenile;Gray;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;Busy;2.0;59.0;0.0
01G;AM;10062018;Adult;Black;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;Busy;2.0;59.0;0.0
01G;AM;10062018;Adult;Black;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;Busy;2.0;59.0;0.0
01G;AM;10062018;Adult;Gray;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;Busy;2.0;59.0;0.0
02F;AM;10062018;Adult;Gray;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Calm;8.0;60.0;1.0
02F;AM;10062018;Adult;Gray;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;Calm;8.0;60.0;1.0
02F;AM;10062018;Adult;Gray;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Calm;8.0;60.0;1.0
02F;AM;10062018;Adult;Gray;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;Calm;8.0;60.0;1.0
02F;AM;10062018;Adult;Gray;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Calm;8.0;60.0;1.0
02H;AM;10062018;Adult;Gray;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;Busy;8.0;64.0;1.0
02H;AM;10062018;Adult;Gray;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Busy;8.0;64.0;1.0
02H;AM;10062018;Adult;Black;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Busy;8.0;64.0;1.0
02H;PM;10062018;Adult;Black;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Busy;14.0;77.0;1.0
02H;PM;10062018;Adult;Gray;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Busy;14.0;77.0;1.0
02H;PM;10062018;Adult;Gray;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Busy;14.0;77.0;1.0
02I;PM;10062018;Adult;Gray;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Busy;9.0;65.0;0.0
02I;AM;10062018;Adult;Gray;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Calm;8.0;64.5;1.0
02I;AM;10062018;Adult;Gray;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Calm;8.0;64.5;1.0
02I;PM;10062018;Adult;Gray;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Busy;9.0;65.0;0.0
03D;AM;10062018;Adult;Cinnamon;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;Calm;5.0;70.0;1.0
03D;AM;10062018;Juvenile;Cinnamon;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;Calm;5.0;70.0;1.0
03D;AM;10062018;Adult;Cinnamon;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Calm;5.0;70.0;1.0
03D;AM;10062018;Unknown;Gray;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Calm;5.0;70.0;1.0
03D;AM;10062018;Adult;Cinnamon;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Calm;5.0;70.0;1.0
03D;AM;10062018;Adult;Cinnamon;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Calm;5.0;70.0;1.0
03D;AM;10062018;Adult;Cinnamon;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Calm;5.0;70.0;1.0
03D;AM;10062018;Adult;Cinnamon;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;Calm;5.0;70.0;1.0
03E;AM;10062018;Adult;Gray;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;Busy;5.0;48.0;1.0
03E;AM;10062018;Adult;Gray;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Busy;5.0;48.0;1.0
03E;AM;10062018;Juvenile;Gray;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Busy;5.0;48.0;1.0
03E;AM;10062018;Juvenile;Gray;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;Busy;5.0;48.0;1.0
03E;AM;10062018;Adult;Gray;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Busy;5.0;48.0;1.0
03E;AM;10062018;Adult;Gray;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;Busy;5.0;48.0;1.0
03E;AM;10062018;Adult;Gray;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Busy;5.0;48.0;1.0
03E;AM;10062018;Adult;Gray;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;Busy;5.0;48.0;1.0
03F;AM;10062018;Juvenile;Gray;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Busy;17.0;77.0;1.0
03F;AM;10062018;Adult;Gray;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Busy;17.0;77.0;1.0
03F;AM;10062018;Juvenile;Gray;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Busy;17.0;77.0;1.0
03F;AM;10062018;Adult;Gray;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Busy;17.0;77.0;1.0
03F;AM;10062018;Adult;Cinnamon;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Busy;17.0;77.0;1.0
03F;AM;10062018;Juvenile;Gray;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;Busy;17.0;77.0;1.0
03F;AM;10062018;Adult;Cinnamon;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Busy;17.0;77.0;1.0
03F;AM;10062018;Juvenile;Gray;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Busy;17.0;77.0;1.0
03F;AM;10062018;Adult;Cinnamon;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Busy;17.0;77.0;1.0
03F;AM;10062018;Juvenile;Cinnamon;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;Busy;17.0;77.0;1.0
03F;AM;10062018;Adult;Gray;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;Busy;17.0;77.0;1.0
03F;AM;10062018;Juvenile;Cinnamon;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Busy;17.0;77.0;1.0
03F;AM;10062018;Adult;Gray;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Busy;17.0;77.0;1.0
03F;AM;10062018;Adult;Gray;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;Busy;17.0;77.0;1.0
04C;AM;10062018;Juvenile;Gray;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;Calm;4.0;77.0;1.0
04C;AM;10062018;Juvenile;Gray;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;Calm;4.0;77.0;1.0
04C;AM;10062018;Juvenile;Gray;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;Calm;4.0;77.0;1.0
04C;AM;10062018;Juvenile;Gray;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Calm;4.0;77.0;1.0
04C;AM;10062018;Juvenile;Gray;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Calm;4.0;77.0;1.0
04G;AM;10062018;Unknown;Gray;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Busy;10.0;66.0;1.0
04G;AM;10062018;Adult;Black;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Busy;10.0;66.0;1.0
04G;AM;10062018;Juvenile;Gray;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Busy;10.0;66.0;1.0
04G;AM;10062018;Unknown;Gray;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Busy;10.0;66.0;1.0
04G;AM;10062018;Adult;Gray;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Busy;10.0;66.0;1.0
04H;AM;10062018;Adult;Gray;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;Busy;6.0;80.0;1.0
04H;AM;10062018;Adult;Gray;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Busy;6.0;80.0;1.0
04H;AM;10062018;Adult;Black;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Busy;6.0;80.0;1.0
04H;PM;10062018;Adult;Gray;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Busy;5.0;77.0;1.0
04H;AM;10062018;Adult;Gray;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Busy;6.0;80.0;1.0
04H;PM;10062018;Adult;Gray;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Busy;5.0;77.0;1.0
04I;AM;10062018;Adult;Unknown;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Busy;1.0;64.0;0.0
04I;AM;10062018;Adult;Gray;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Busy;1.0;64.0;0.0
04I;AM;10062018;Adult;Black;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Busy;1.0;64.0;0.0
05A;AM;10062018;Adult;Gray;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;Busy;0.0;67.0;0.0
05A;AM;10062018;Juvenile;Cinnamon;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;Busy;0.0;67.0;0.0
05A;AM;10062018;Juvenile;Gray;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;Busy;0.0;67.0;0.0
05A;AM;10062018;Juvenile;Gray;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Busy;0.0;67.0;0.0
05A;AM;10062018;Adult;Gray;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Busy;0.0;67.0;0.0
05C;AM;10062018;Adult;Gray;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Calm;8.0;65.0;1.0
05C;AM;10062018;Adult;Cinnamon;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Calm;8.0;65.0;1.0
05C;AM;10062018;Adult;Gray;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Calm;8.0;65.0;1.0
05C;AM;10062018;Adult;Gray;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Calm;8.0;65.0;1.0
05C;AM;10062018;Adult;Cinnamon;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;Calm;8.0;65.0;1.0
05C;AM;10062018;Adult;Cinnamon;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;Calm;8.0;65.0;1.0
05C;AM;10062018;Adult;Gray;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Calm;8.0;65.0;1.0
05G;AM;10062018;Adult;Gray;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Busy;6.0;65.0;1.0
06A;AM;10062018;Adult;Gray;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Busy;7.0;57.0;1.0
06A;AM;10062018;Adult;Gray;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;Busy;7.0;57.0;1.0
06A;AM;10062018;Adult;Gray;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;Busy;7.0;57.0;1.0
06A;AM;10062018;Adult;Gray;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;Busy;7.0;57.0;1.0
06A;AM;10062018;Adult;Gray;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;Busy;7.0;57.0;1.0
06A;AM;10062018;Adult;Gray;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;Busy;7.0;57.0;1.0
06A;AM;10062018;Adult;Gray;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;Busy;7.0;57.0;1.0
06A;AM;10062018;Adult;Gray;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Busy;7.0;57.0;1.0
06F;AM;10062018;Juvenile;Cinnamon;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;Busy;9.0;72.4;1.0
06I;AM;10062018;Adult;Gray;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Busy;9.0;60.0;0.0
07A;AM;10062018;Adult;Gray;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;Busy;4.0;80.0;1.0
07A;AM;10062018;Adult;Gray;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Busy;4.0;80.0;1.0
07A;AM;10062018;Adult;Gray;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Busy;4.0;80.0;1.0
07E;AM;10062018;Adult;Gray;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Calm;9.0;57.0;1.0
07E;AM;10062018;Adult;Gray;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Calm;9.0;57.0;1.0
07E;AM;10062018;Adult;Gray;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;Calm;9.0;57.0;1.0
07E;AM;10062018;Adult;Gray;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Calm;9.0;57.0;1.0
